--- The following is a list of skipped games ---
'Rockman 2 ONN', No returned matches
'Mega Man - Dr. Wily Visits Indonesia', No returned matches
'Mega Man Hyperion 3', No returned matches
'My Little Ponny - Dr. Discord's Conquest', No returned matches
'Rockman 3 - Winternight', No returned matches
'Rockman 3 - Stalker Attack', No returned matches
'Mega Man 3 (Improvement)', No returned matches
'Rockman - New Year Hack (2015)', No returned matches
'Rockman 5 - Air Sliding', No returned matches
'Rockman - New Year Hack (2019)', No returned matches
'Rockman 5 - Dood in Gate', No returned matches
'Rockman Install Metal', No returned matches
'Rockman 5 - Double Jumper', No returned matches
'Rollchan 6 (MM8 Roll)', No returned matches
'Rollchan (Classic Roll)', No returned matches
'Rockman 3 Claw', No returned matches
'Rollchan 6 (Classic Roll)', No returned matches
'Rollchan (MM8 Roll)', No returned matches
'Rollchan 3 (Classic Roll)', No returned matches
'Rollchan 3 (MM8 Roll)', No returned matches
'Rollchan 5 (MM8 Roll)', No returned matches
'Rollchan 3 Improvement (Classic Roll)', No returned matches
'Rollchan 2 (Classic Roll)', No returned matches
'Rollchan 5 (Classic Roll)', No returned matches
'Rollchan 3 Improvement (MM8 Roll)', No returned matches
'Rollchan 2 (MM8 Roll)', No returned matches
'Rockman 2 - Dr. Wily no Nazo', No returned matches
'Rollchan 4 (Classic Roll)', No returned matches
'Rollchan 4 (MM8 Roll)', No returned matches
'Rockman 4 - Aratanaru Yabou!!', No returned matches
'Rockman 5 - Blues no Wana!', No returned matches
'Rockman 6 - Shijou Saidai no Tatakai!!', No returned matches
'Rockman', No returned matches
'Cabal', No returned matches
'Rockman 3 - Dr. Wily no Saigo!', No returned matches
'California Games', No returned matches
'Caesar's Palace', No returned matches
'Captain Planet', No returned matches
'Captain America and the Avengers', No returned matches
'Captain Skyhawk', No returned matches
'Casino Kid', No returned matches
'Castelian', No returned matches
'Casino Kid 2', No returned matches
'Castlequest', No returned matches
'Castle of Dragon', No returned matches
'Caveman Games', No returned matches
'Championship Pool', No returned matches
'Chubby Cherub', No returned matches
'Championship Bowling', No returned matches
'Circus Charlie', No returned matches
'Circus Caper', No returned matches
'Chessmaster, The', No returned matches
'City Connection', No returned matches
'Cliffhanger', No returned matches
'Clu Clu Land', No returned matches
'Clash at Demonhead', No returned matches
'Classic Concentration', No returned matches
'Color a Dinosaur', No returned matches
'Commando', No returned matches
'Conan', No returned matches
'Code Name - Viper', No returned matches
'Conflict', No returned matches
'Conquest of the Crystal Palace', No returned matches
'Cool World', No returned matches
'Crash 'n the Boys - Street Challenge', No returned matches
'Cowboy Kid', No returned matches
'Cybernoid - The Fighting Machine', No returned matches
'Crystalis', No returned matches
'Castlevania III - Dracula's Curse', No returned matches
'Castlevania II - Simon's Quest', No returned matches
'Castlevania II - Simon's Quest (Redaction)', No returned matches
'Castlevania', No returned matches
'Contra', No returned matches
'Chip 'N Dale - Rescue Rangers 2', No returned matches
'Super C', No returned matches
'Contra (MMC3)', No returned matches
'Contra Force', No returned matches
'Ice Climber', No returned matches
'Cobra Triangle', No returned matches
'Cobra Command', No returned matches
'Chip 'N Dale - Rescue Rangers', No returned matches
'Image Fight', No returned matches
'Infiltrator', No returned matches
'Immortal, The', No returned matches
'Isolated Warrior', No returned matches
'Incredible Crash Dummies, The', No returned matches
'Ikari Warriors III - The Rescue', No returned matches
'Ivan Stewart's Super Off-Road', No returned matches
'Iron Tank', No returned matches
'Ikari Warriors', No returned matches
'Indiana Jones and the Last Crusade (UBI Soft)', No returned matches
'Indiana Jones and the Last Crusade (Taito)', No returned matches
'Ikari Warriors II - Victory Road', No returned matches
'Indiana Jones and the Temple of Doom', No returned matches
'Ice Hockey (USA)', No returned matches
'F-117A - Stealth Fighter', No returned matches
'Family Feud', No returned matches
'F-117A Stealth Fighter', No returned matches
'F-15 Strike Eagle', No returned matches
'Felix the Cat', No returned matches
'Faria - A World of Mystery & Danger', No returned matches
'Ferrari Grand Prix Challenge', No returned matches
'Fester's Quest', No returned matches
'Fire 'N Ice', No returned matches
'Xenophobe', No returned matches
'Flying Dragon - The Secret Scroll', No returned matches
'Flight of the Intruder', No returned matches
'Fist of the North Star', No returned matches
'Formula 1 - Built to Win', No returned matches
