--- The following is a list of skipped games ---
'Dora the Explorer - Dora's World Adventure', No returned matches
'Dora the Explorer - the Search for Pirate Pig's Treasure', No returned matches
'Disney Sports - Skateboarding', No returned matches
'Disney Sports - Football', No returned matches
'Disney Sports - Soccer', No returned matches
'Disney Sports - Motocross', No returned matches
'Demikids - Dark Version', No returned matches
'Duel Masters - Sempai Legends', No returned matches
'Driven', No returned matches
'Duel Masters - Kaijudo Showdown', No returned matches
'Duel Masters - Shadow of the Code', No returned matches
'Dogz - Fashion', No returned matches
'Driver 2 Advance', No returned matches
'Dogz Fashion  2', No returned matches
'Dogz  2', No returned matches
'Dogz 2', No returned matches
'Demikids - Light Version', No returned matches
'Dogz Fashion', No returned matches
'Dexter's Laboratory - Chess Challenge', No returned matches
'Dexter's Laboratory - Deesaster Strikes', No returned matches
'SD Gundam Force', No returned matches
'SSX 3', No returned matches
'Sabrina the Teenage Witch - Potion Commotion', No returned matches
'SSX Tricky', No returned matches
'Samurai Jack - the Amulet of Time', No returned matches
'Santa Claus Jr.', No returned matches
'Salt Lake 2002', No returned matches
'Scooby-Doo - Mystery Mayhem', No returned matches
'Santa Clause 3 - the Escape Clause', No returned matches
'Scooby-Doo - the Motion Picture', No returned matches
'Santa Claus Saves the Earth', No returned matches
'Scooby-Doo - Unmasked', No returned matches
'Dogz', No returned matches
'Scrabble Blast', No returned matches
'Scooby-Doo 2 - Monsters Unleashed', No returned matches
'Scorpion King - Sword Of Osiris', No returned matches
'Scrabble Scramble', No returned matches
'Scooby-Doo and the Cyber Chase', No returned matches
'Sea Trader - Rise of Taipan', No returned matches
'Sega Arcade Gallery', No returned matches
'Scurge - Hive', No returned matches
'Sega Rally Championship', No returned matches
'Sega Smash Pack', No returned matches
'Sea World - Shamu's Deep Sea Adventure', No returned matches
'Shaman King - Legacy of the Spirits - Soaring Hawk', No returned matches
'Shaman King - Master of Spirits 2', No returned matches
'Serious Sam Advance', No returned matches
'Shaman King - Legacy of the Spirits - Sprinting Wolf', No returned matches
'Shark Tale', No returned matches
'Shaun Palmer's Pro Snowboarder', No returned matches
'Shifting Gears - Road Trip', No returned matches
'Sheep', No returned matches
'Shaman King - Master of Spirits', No returned matches
'Shining Force - Resurrection of the Dark Dragon', No returned matches
'Shining Soul 2', No returned matches
'Shining Soul', No returned matches
'Shrek - Smash N Crash Racing', No returned matches
'Shrek - Reekin' Havoc', No returned matches
'Shrek - Super Slam', No returned matches
'Shrek - Swamp Kart', No returned matches
'Shrek - Hassle at the Castle', No returned matches
'Shrek 2 - Beg for Mercy', No returned matches
'Shamu's Deep Sea Adventures', No returned matches
'Shrek 2', No returned matches
'Sigma Star Saga', No returned matches
'Silent Scope (U)', No returned matches
'Shrek the Third', No returned matches
'Silent Scope (U) 2', No returned matches
'Silent Scope', No returned matches
'Sim City 2000', No returned matches
'Simpsons - Road Rage', No returned matches
'Sitting Ducks', No returned matches
'Sims 2', No returned matches
'Sims - Bustin' Out', No returned matches
'Sky Dancers - They Magically Fly', No returned matches
'Snood 2 - On Vacation', No returned matches
'Smashing Drive', No returned matches
'Smuggler's Run', No returned matches
'Snood 2 - Snoods on Vacation', No returned matches
'Sims 2 - Pets', No returned matches
'Snood', No returned matches
'Soccer Kid', No returned matches
'Sonic Advance 2', No returned matches
'Sonic Advance', No returned matches
'Sonic Advance 3', No returned matches
'Sonic Battle 2', No returned matches
'Sonic Battle (E) (M6)', No returned matches
'Sonic Battle', No returned matches
'Sonic the Hedgehog - Genesis', No returned matches
'Space Channel 5 - Ulala's Cosmic Attack', No returned matches
'Space Invaders', No returned matches
'Sound of Thunder', No returned matches
'Sonic Pinball Party', No returned matches
'Speedball 2 - Brutal Deluxe', No returned matches
'Spider-Man - the Movie', No returned matches
'Spider-Man - Mysterio's Menace', No returned matches
'Spider-Man 2', No returned matches
'Spider-Man Battle for New York', No returned matches
'Spirit - Stallion of the Cimarron', No returned matches
'Spider-Man - Battle for New York', No returned matches
