--- The following is a list of skipped games ---
'Michael Jackson's Moonwalker (UE) [b1]', No returned matches
'Michael Jackson's Moonwalker (UE) [!]', No returned matches
'Mercs (UE) [!]', No returned matches
'Mick & Mack As The Global Gladiators (UE) [b1][o1]', No returned matches
'Mickey Mouse - Castle of Illusion (UE) [!]', No returned matches
'Mickey Mouse - Castle of Illusion (UE) [b1]', No returned matches
'Mick & Mack As The Global Gladiators (UE) [o1]', No returned matches
'Mickey's Ultimate Challenge (Brazil) [!]', No returned matches
'Mickey Mouse - Land of Illusion (UE) [!]', No returned matches
'Mickey Mouse - Legend of Illusion (UE) [!]', No returned matches
'Micro Machines (E) [b1]', No returned matches
'Micro Machines (E) [!]', No returned matches
'Mickey's Ultimate Challenge (Brazil) [o1]', No returned matches
'Miracle Warriors - Seal of the Dark Lord (UE) [!]', No returned matches
'Miracle Warriors - Seal of the Dark Lord (UE) [b1]', No returned matches
'Missile Defense 3D (UE) [!]', No returned matches
'Monica no Castelo do Dragao (Brazil) [!]', No returned matches
'Monica no Castelo do Dragao (Brazil) [b1]', No returned matches
'Monica 3 (WonderBoy in MW Hack)', No returned matches
'Miracle Warriors - Seal of the Dark Lord (UE) [b2]', No returned matches
'Monopoly (U) [a1][!]', No returned matches
'Monopoly (U) [!]', No returned matches
'Montezuma's Revenge (UE) [!]', No returned matches
'Mortal Kombat (UE) [!]', No returned matches
'Mortal Kombat 2 (UE) [b1]', No returned matches
'Ms. Pac-man (UE) [!]', No returned matches
'Mortal Kombat 3 (UE) [!]', No returned matches
'My Hero (UE) [o1]', No returned matches
'My Hero (UE) [!]', No returned matches
'My Hero (UE) [o2]', No returned matches
'My Hero (UE) [o3]', No returned matches
'Mortal Kombat 2 (UE) [!]', No returned matches
'California Games (UE) [!]', No returned matches
'California Games (UE) [b1]', No returned matches
'California Games (UE) [T+Por]', No returned matches
'California Games 2 (UE) [!]', No returned matches
'Captain Silver (E) [b1]', No returned matches
'Captain Silver (E) [!]', No returned matches
'California Games 2 (UE) [b1]', No returned matches
'Casino Games (UE) [!]', No returned matches
'Casino Games (UE) [b2]', No returned matches
'Casino Games (UE) [b1]', No returned matches
'Captain Silver (U) [!]', No returned matches
'Champions of Europe (UE) [!]', No returned matches
'Castelo Ra Tin Bum (Brazil) [!]', No returned matches
'Castelo Ra Tin Bum (Brazil) [b1]', No returned matches
'Championship Hockey (UE) [!]', No returned matches
'Chkstate Demo by Dave (PD)', No returned matches
'Cheese Cat-astrophe (UE) [!]', No returned matches
'Cheese Cat-astrophe (UE) [b1]', No returned matches
'Choplifter (UE) [!]', No returned matches
'Choplifter (UE) [b1]', No returned matches
'Chapolim x Dracula - Um Duelo Assustador (Brazil) [!]', No returned matches
'Choplifter (UE) [b1][o1]', No returned matches
'Choplifter (UE) [b2]', No returned matches
'Choplifter (UE) [b3]', No returned matches
'Choplifter (UE) [o1]', No returned matches
'Circuit, The (J) [!]', No returned matches
'Chuck Rock (U) [!]', No returned matches
'Chuck Rock 2 (UE) [!]', No returned matches
'Cloud Master (JUE) [b1]', No returned matches
'Cloud Master (JUE)', No returned matches
'Columns (UE) [!]', No returned matches
'Cool Spot (UE) [!]', No returned matches
'Copyright Violation by Heliophobe (PD)', No returned matches
'Cosmic Spacehead (UE) [!]', No returned matches
'Cool Spot (UE) [b1]', No returned matches
'Cyber Shinobi (UE) [!]', No returned matches
'Cyber Shinobi (UE) [T+Fre]', No returned matches
'Cyborg Hunter (UE) [!]', No returned matches
'Cyborg Hunter (UE) [T+Ita1.00]', No returned matches
'Cyborg Hunter (UE) [T+Por]', No returned matches
'V Counter Test by Charles MacDonald (PD)', No returned matches
'Vampire (UE) [b1]', No returned matches
'Vigilante (UE) [!]', No returned matches
'Vampire (UE) [T+Fre1.00_Terminus]', No returned matches
'Vampire (UE) [!]', No returned matches
'Only Words by Mike Gordon (PD)', No returned matches
'Opa Opa (J)', No returned matches
'Operation Wolf (U) [T+Fre]', No returned matches
'Operation Wolf (U) [!]', No returned matches
'Virtua Fighter Animation (J) [!]', No returned matches
'OutRun (UE) [b1]', No returned matches
'OutRun (UE) [b2]', No returned matches
'Ottifants, The (UE) [!]', No returned matches
'Impossible Mission (UE) [!]', No returned matches
'OutRun 3D (U) [!]', No returned matches
'OutRun (UE) [!]', No returned matches
'Interactive Sprite Test (PD)', No returned matches
'Incredible Crash Dummies, The (UE) [!]', No returned matches
'Indiana Jones and the Last Crusade (UE) [!]', No returned matches
'Interrupt Test (PD)', No returned matches
'Incredible Hulk, The (UE) [!]', No returned matches
'Xenon 2 (UE) (Virgin) [!]', No returned matches
'Xenon 2 (UE) (Image Works) [!]', No returned matches
'Xenon 2 (UE) (Virgin) [b1]', No returned matches
'X-Men - Mojo World (UE) [!]', No returned matches
'F-16 Fighting Falcon (J) [!]', No returned matches
'F-16 Fighting Falcon (UE) [!]', No returned matches
'Fantasy Zone (UE) [!]', No returned matches
'F1 Championship (UE) [!]', No returned matches
'Fantasy Zone 2 - The Tears of Opa-Opa (J) [!]', No returned matches
'Fantasy Zone (UE) [o1]', No returned matches
'Fantasy Zone 2 - The Tears of Opa-Opa (UE) [!]', No returned matches
'Fantasy Zone 2 - The Tears of Opa-Opa (UE) [b1]', No returned matches
'Fantasy Zone 3 - The Maze (UE) [!]', No returned matches
'Fantasy Zone 3 - The Maze (UE) [o1]', No returned matches
'Felipe em Acao (Brazil)', No returned matches
'Final Bubble Bobble (J) [!]', No returned matches
'Ferias Frustradas do Picapau (Brazil)', No returned matches
