--- The following is a list of skipped games ---
'Beavis and Butthead (U) [t1]', No returned matches
'Beavis and Butthead (beta)', No returned matches
'Berenstain Bears', The Camping Adventure (JUE) [h1]', No returned matches
'Berenstain Bears', The Camping Adventure (JUE) [h2]', No returned matches
'Berenstain Bears', The Camping Adventure (JUE) [t1]', No returned matches
'Berenstain Bears', The Camping Adventure (JUE) [h3]', No returned matches
'Berenstain Bears', The Camping Adventure (U) [!]', No returned matches
'Berenstain Bears', The Camping Adventure (UJE) [h1]', No returned matches
'Berenstain Bears', The Camping Adventure (UJE) [h2]', No returned matches
'Beavis and Butthead (U) [!]', No returned matches
'Berzerk (PD)', No returned matches
'Best of the Best - Championship Karate (E) [a1][o1]', No returned matches
'Best of the Best - Championship Karate (E) [h1]', No returned matches
'Best of the Best - Championship Karate (E) [o1]', No returned matches
'Best of the Best - Championship Karate (E) [x]', No returned matches
'Best of the Best - Championship Karate (U) [c][!]', No returned matches
'Beyond Oasis (4) [!]', No returned matches
'Beyond Oasis (4) [b1]', No returned matches
'Beyond Oasis (4) [b2]', No returned matches
'Beyond Oasis (4) [h1]', No returned matches
'Beyond Oasis (4) [h4]', No returned matches
'Beyond Oasis (4) [h5]', No returned matches
'Bible Adventures (Unl) [c][!]', No returned matches
'Bill Walsh College Football 95 (JUE) [h1]', No returned matches
'Beyond Oasis (4) [h3]', No returned matches
'Bill Walsh College Football (UEJ) [c][!]', No returned matches
'Best of the Best (beta)', No returned matches
'Bill Walsh College Football 95 (U) [!]', No returned matches
'Bimini Run (JU) [b1]', No returned matches
'Bimini Run (JU) [!]', No returned matches
'Bio-Hazard Battle (Aug 1992) (U) [t1].smd', No returned matches
'Bio-Hazard Battle (Aug 1992) (U) [t1].bin', No returned matches
'Bio-Hazard Battle (Aug 1992) (U) [x]', No returned matches
'Bio-Hazard Battle (Sept 1992) (UE) [!]', No returned matches
'Bioship Paladin (JU) [c][!].smd', No returned matches
'Bioship Paladin (JU) [c][!].bin', No returned matches
'Bioship Paladin (JU) [h1]', No returned matches
'Bioship Paladin (JU) [h3]', No returned matches
'Bioship Paladin (JU) [h2]', No returned matches
'Blades of Vengence (EJU) [!]', No returned matches
'Blackthorne 32X (4) [!]', No returned matches
'Bill Walsh College Football 95 (JUE) [h2]', No returned matches
'Bioship Paladin (JU) [p1]', No returned matches
'Blades of Vengence (EJU) [h2]', No returned matches
'Blades of Vengence (EJU) [h1]', No returned matches
'Blaster Master 2 (U) [c][!]', No returned matches
'Blaster Master 2 (U) [a1][h1]', No returned matches
'Blaster Master 2 (U) [h1]', No returned matches
'Blaster Master 2 (U) [a1][x]', No returned matches
'Blaster Master 2 (U) [p1]', No returned matches
'Block Out (U) [o1]', No returned matches
'Blockbuster Competition 2 (NBA Jam-Judge Dredd) (JUE) [h1]', No returned matches
'Blockbuster Competition 2 (NBA Jam-Judge Dredd) (JUE) [h2]', No returned matches
'Block Out (U) [!]', No returned matches
'Blockbuster Competition 2 (NBA Jam-Judge Dredd) (JUE)', No returned matches
'Blood Shot (UE) [b1]', No returned matches
'Blood Shot (UE) [h2]', No returned matches
'Blood Shot (UE) [!]', No returned matches
'Blood Shot (UE) [h3]', No returned matches
'Blood Shot (UE) [h1]', No returned matches
'Blue Almanac (J) [h1]', No returned matches
'Body Count (E) [b1]', No returned matches
'Body Count (E) [!]', No returned matches
'Body Count (E) [h1]', No returned matches
'Body Count (E) [h3]', No returned matches
'Blue Almanac (J)', No returned matches
'Body Count (E) [h4]', No returned matches
'Bonanza Brothers (G-4046) (REV 00) (JUE) [!]', No returned matches
'Bonanza Brothers (G-4046) (REV 00) (U) [a1]', No returned matches
'Body Count (E) [h2]', No returned matches
'Bonanza Brothers (G-4046) (REV 00) (JUE) [b1]', No returned matches
'Bonanza Brothers (MK-1124) (REV 00) (UE) [!]', No returned matches
'Boogerman (U) [!]', No returned matches
'Bonkers (JUE) [!]', No returned matches
'Bonkers (JUE) [h1]', No returned matches
'Bonanza Brothers (G-4046) (REV 01) (JUE)', No returned matches
'Boogerman (U) [h1]', No returned matches
'Bram Stoker's Dracula (JUE) [!]', No returned matches
'Boogerman (U) [h2]', No returned matches
'Boxing Legends of the Ring (U) [!]', No returned matches
'Boogie Woogie Bowling (J)', No returned matches
'Braver Battle Saga - The Space Fighter (Chinese)', No returned matches
'Brett Hull Hockey 95 (JUE) [!]', No returned matches
'Breath of Fire 3 (Chinese)', No returned matches
'Brett Hull Hockey 95 (JUE) [b2]', No returned matches
'Brian Lara Cricket (Mar 1995) (JE) [c]', No returned matches
'Brian Lara Cricket (Mar 1995) (JE) [h1]', No returned matches
'Brian Lara Cricket (June 1995) (E) [c][!]', No returned matches
'Brett Hull Hockey 95 (JUE) [b1]', No returned matches
'Brian Lara Cricket 96 (Apr 1996) (E) [h1]', No returned matches
'Brian Lara Cricket 96 (Apr 1996) (UE) [h1]', No returned matches
'Brian Lara Cricket 96 (March 1996) (E) [c][!]', No returned matches
'Brutal - Paws of Fury (E) [b1]', No returned matches
'Brutal - Paws of Fury (E)', No returned matches
'Brutal - Paws of Fury (U) [!]', No returned matches
'Brutal - Paws of Fury (U) [h2]', No returned matches
'Brutal - Paws of Fury (U) [h1]', No returned matches
'Brutal - Paws of Fury (U) [h3]', No returned matches
'Brutal Unleashed 32X (4) [!]', No returned matches
'Bubba N Stix (E) [c][!]', No returned matches
'Bubba N Stix (E) [h1]', No returned matches
'Bubba N Stix (EUJ) [t1]', No returned matches
'Bubba N Stix (EUJ) [t2]', No returned matches
'Brian Lara Cricket 96 (Apr 1996) (E) [c]', No returned matches
'Bubba N Stix (JUE) [h1]', No returned matches
'Bubble and Squeek (U) [!]', No returned matches
'Bubba N Stix (U) [!]', No returned matches
'Bubble and Squeek (U) [h2]', No returned matches
'Bubble and Squeek (U) [h1]', No returned matches
