--- The following is a list of skipped games ---
'pigouta', No returned matches
'pigout', No returned matches
'pinbo', No returned matches
'pigskin', No returned matches
'pipedrm', No returned matches
'pinbos', No returned matches
'pipibibs', No returned matches
'pipibibi', No returned matches
'pitfall2', No returned matches
'pistoldm', No returned matches
'pitfigh3', No returned matches
'pitfallu', No returned matches
'pitfight', No returned matches
'pkladies', No returned matches
'pkunwarj', No returned matches
'pleiadbl', No returned matches
'playch10', No returned matches
'plgirls', No returned matches
'pleiadce', No returned matches
'plotting', No returned matches
'plgirls2', No returned matches
'plusalph', No returned matches
'plumppop', No returned matches
'polepos', No returned matches
'polarisa', No returned matches
'polepos2', No returned matches
'polepos1', No returned matches
'poleposa', No returned matches
'poleps2a', No returned matches
'poleps2b', No returned matches
'pollux', No returned matches
'poleps2c', No returned matches
'pompingw', No returned matches
'polyplay', No returned matches
'pool', No returned matches
'ponpokov', No returned matches
'popeye2', No returned matches
'pooyans', No returned matches
'popflama', No returned matches
'popeyef', No returned matches
'potogold', No returned matches
'portman', No returned matches
'potopoto', No returned matches
'poundfor', No returned matches
'poundfou', No returned matches
'powerdrv', No returned matches
'pow', No returned matches
'powj', No returned matches
'powerins', No returned matches
'prehislu', No returned matches
'prehisle', No returned matches
'psoldier', No returned matches
'primella', No returned matches
'pspikes', No returned matches
'pstadium', No returned matches
'psurge', No returned matches
'psychosj', No returned matches
'psychos', No returned matches
'pulirulj', No returned matches
'pulirula', No returned matches
'punishrj', No returned matches
'punisher', No returned matches
'punkshot', No returned matches
'punishru', No returned matches
'pushman', No returned matches
'punksht2', No returned matches
'puyopuya', No returned matches
'puyopuy2', No returned matches
'puyopuyo', No returned matches
'puzbobb', No returned matches
'puzlclub', No returned matches
'pyros', No returned matches
'puzznic', No returned matches
'PUNCHOUT', No returned matches
'DEFCMD', No returned matches
'DDAY', No returned matches
'DDRAGON2', No returned matches
'DEFENDER', No returned matches
'DEPTHCH', No returned matches
'DEFCMND', No returned matches
'DARKPLNT', No returned matches
'DESTDERB', No returned matches
'DESTERTH', No returned matches
'DIAMOND', No returned matches
'DIGDUG2', No returned matches
'DIGDUGAT', No returned matches
'DIGDUG', No returned matches
'DIGDUGNM', No returned matches
'DKJRJP', No returned matches
'DKJRBL', No returned matches
'DKNGJRJP', No returned matches
'DKONGJP', No returned matches
'DKONG3', No returned matches
'DKONG', No returned matches
'DKONGJR', No returned matches
'DOCASTL2', No returned matches
'DOMINO', No returned matches
'DOUNI', No returned matches
'DORUNRUN', No returned matches
'DEVSTORS', No returned matches
'DWJ', No returned matches
'dairesya', No returned matches
'daisenpu', No returned matches
'dakkochn', No returned matches
'dangar', No returned matches
'dangar2', No returned matches
'dangarb', No returned matches
'dangerz', No returned matches
'DYNWARSJ', No returned matches
'dangseed', No returned matches
'darkadv', No returned matches
'darksea1', No returned matches
'darkseaj', No returned matches
'darkseal', No returned matches
'darwin', No returned matches
