--- The following is a list of skipped games ---
'Tintin in Tibet', No returned matches
'Toki Tori', No returned matches
'Toobin'', No returned matches
'Tonka Raceway', No returned matches
'Toonsylvania', No returned matches
'Tonka Construction Site', No returned matches
'Towers - Lord Baniff's Deceit', No returned matches
'Tonic Trouble', No returned matches
'Trick Boarder', No returned matches
'Triple Play 2001', No returned matches
'Total Soccer 2000', No returned matches
'Trouballs', No returned matches
'Tweety's High-flying Adventures', No returned matches
'Top Gun - Fire Storm', No returned matches
'Tiny Toon Adventures - BStD', No returned matches
'Tweenies - Doodles' Bones', No returned matches
'Tiny Toon Adventures - DCQ', No returned matches
'Tyco RC - Racin' Ratz', No returned matches
'Top Gear Pocket I', No returned matches
'Tyrian 2000', No returned matches
'Top Gear Pocket II', No returned matches
'Taxi II', No returned matches
'Tony Hawk's Pro Skater II', No returned matches
'Tony Hawk's Pro Skater I', No returned matches
'Taxi III', No returned matches
'Tomb Raider - Curse of the Sword', No returned matches
'Tomb Raider', No returned matches
'Tony Hawk's Pro Skater III', No returned matches
'Test Drive Cycles', No returned matches
'Test Drive VI', No returned matches
'Test Drive Off-Road III', No returned matches
'Test Drive Le Mans', No returned matches
'Test Drive 2001', No returned matches
'Toy Story II', No returned matches
'Toy Story Racer', No returned matches
'Tom & Jerry in Mouse Attacks!', No returned matches
'Tom & Jerry', No returned matches
'Tom & Jerry - Mouse Hunt', No returned matches
'Turok III - Shadow of Oblivion', No returned matches
'R-Type DX', No returned matches
'Turok II - Seeds of Evil', No returned matches
'Turok I - Rage Wars', No returned matches
'Race Time', No returned matches
'Rampart', No returned matches
'Radikal Bikers', No returned matches
'Rats!', No returned matches
'Rainbow Islands', No returned matches
'Razor - Freestyle Scooter', No returned matches
'Revelations - The Demon Slayer', No returned matches
'Resident Evil Gaiden', No returned matches
'Return of the Ninja', No returned matches
'Rip-Tide Racer', No returned matches
'Road Champs - BXS Stunt Biking', No returned matches
'Roadsters '98', No returned matches
'Rhino Rumble', No returned matches
'Ready 2 Rumble Boxing', No returned matches
'Roadsters Trophy', No returned matches
'Road Rash', No returned matches
'RoboCop', No returned matches
'Robot Wars - Metal Mayhem', No returned matches
'Robopon - Sun Version', No returned matches
'Rocky Mountain Trophy Hunter', No returned matches
'Rocket Power - Gettin' Air', No returned matches
